"","ADCYAP1","ADIPOQ","ALX1","ARX","BAGE","BAGE2","BAGE3","BAGE4","BAGE5","BCORP1","BMP7","BTBD17","C14ORF39","C15ORF2","C18ORF61","C21ORF15","CALB2","CARTPT","CBLN4","CCL19","CCL21","CCNYL2","CFHR4","CHRNA4","CLEC4M","CR2","CRABP1","CRH","CSAG1","CSAG2","CSAG3","CTAG2","CXORF49","CXORF49B","CYP11B1","CYP4F24P","DDX3Y","DEFA1","DEFA1B","DLK1","DNAJC5G","EIF1AY","ERCC_00013","ERCC_00014","ERCC_00019","ERCC_00022","ERCC_00025","ERCC_00028","ERCC_00031","ERCC_00034","ERCC_00035","ERCC_00039","ERCC_00040","ERCC_00044","ERCC_00051","ERCC_00053","ERCC_00054","ERCC_00058","ERCC_00059","ERCC_00060","ERCC_00062","ERCC_00067","ERCC_00069","ERCC_00071","ERCC_00076","ERCC_00078","ERCC_00079","ERCC_00084","ERCC_00085","ERCC_00092","ERCC_00095","ERCC_00099","ERCC_00108","ERCC_00112","ERCC_00116","ERCC_00126","ERCC_00131","ERCC_00136","ERCC_00143","ERCC_00144","ERCC_00148","ERCC_00154","ERCC_00157","ERCC_00160","ERCC_00162","ERCC_00163","ERCC_00165","ERCC_00170","EVX2","FBXL21","FDCSP","FERD3L","FLJ41350","FOXD3","GABRA1","GCGR","GSTT1","HBG1","HBG2","HLA-DQA1","HLA-DRB4","HLA-DRB5","HOXC10","HOXD11","HOXD13","HSD3B2","KCNC2","KDM5D","LECT2","LHX9","LINC00221","LOC100129291","LOC100288568","LOC100507073","LOC100507199","LOC100507561","LOC100652893","LOC100653006","LOC348120","LOC400643","LOC441601","LOC90499","MAGEA1","MAGEA10","MAGEA10-MAGEA5","MAGEA11","MAGEA12","MAGEA2","MAGEA2B","MAGEA3","MAGEA4","MAGEA5","MAGEA6","MAGEA9","MAGEA9B","MAGEC1","MAGEC2","MGC39584","MUC15","NCAN","NCRNA00185","NF1P2","NHLH2","NKX6-1","NR5A1","PABPC1L2A","PABPC1L2B","PAGE5","PENK","PLA2G2A","PLA2G2D","PLEKHG4B","PMP2","POU4F2","PPP1R17","PPP1R1A","PRAME","PRKY","PRY","PRY2","PWRN1","RBP4","RMST","RPS4Y1","SERPINA12","SIX6","SLC30A3","SLC5A7","SLC6A11","SST","TERT","TLX3","TMSB4Y","TSIX","TSPY4","TTLL6","TTTY15","TTTY2","TTTY2B","TXLNG2P","UCN3","USP9Y","XAGE1A","XAGE1B","XAGE1C","XAGE1D","XAGE1E","XIST","ZFY","ZFY-AS1"
"SEQC_NB001_BD03U8ACXX_L7_CGATGT",1.648,-2.981,-6.665,-3.396,5.687,6.564,6.564,6.564,6.564,1.495,3.458,3.061,3.905,-6.665,-1.589,-1.226,-1.396,-1.123,-2.811,5.81,8.569,-2.981,2.993,-1.522,4.533,5.288,-4.396,-3.659,-3.174,-1.174,-1.174,-1.811,1.495,1.495,-6.665,-6.665,4.809,-0.396,-0.396,-0.589,-0.366,2.35,-2.497,-2.497,-2.497,11.415,11.415,-2.497,-2.497,-2.497,10.678,-2.497,-2.497,11.415,-2.497,10.678,-2.497,-2.497,10.678,11.415,10.678,-2.497,-2.497,-2.497,-2.497,10.678,-2.497,10.678,-2.497,11.901,-2.497,11.415,14.093,-2.497,12.415,-2.497,11.415,13,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,10.678,-2.497,-2.497,-2.497,2.688,0.985,3.107,-6.665,-4.981,-1.893,-0.811,4.357,4.285,-2.074,-1.659,4.925,0.663,-3.981,-1.123,-4.396,0.286,-4.396,1.902,5.084,0.527,-6.665,4.291,0.634,3.836,1.558,-6.665,-6.665,-0.555,-1.659,2.81,-1.123,2.117,2.619,-2.522,5.512,5.861,0.604,-6.665,-6.665,-6.665,-6.665,-1.28,2.905,-3.174,4.815,4.815,5.138,2.581,-1.027,6.828,6.74,-0.309,3.818,1.82,5.05,-2.811,3.267,3.141,0.511,-4.396,-2.174,5.309,5.462,-3.659,-3.981,4.658,2.091,8.061,4.298,-6.665,-6.665,-4.396,-4.396,-0.123,5.417,0.189,-6.665,0.169,-6.665,-0.659,0.589,5.785,-2.396,-2.522,-0.457,-2.396,5.458,1.619,-6.665,-6.665,4.516,-1.589,4.033,-6.665,-6.665,-6.665,-6.665,-6.665,-0.174,2.767,2.612
"SEQC_NB002_BD03U8ACXX_L7_TGACCA",3.414,-6.665,-2.449,1.011,4.267,5.515,5.515,5.515,5.515,0.768,5.685,0.689,4.249,-4.186,-6.665,-3.186,1.369,6.288,-1.07,4.875,6.636,4.901,0.496,0.705,2.189,4.09,-4.186,0.705,-4.186,-2.771,-2.771,-6.665,1.515,1.515,-6.665,-4.186,5.34,-4.771,-4.771,0.721,1.63,2.693,-2.497,-2.497,-2.497,10.452,9.715,-2.497,-2.497,-2.497,9.715,-2.497,-2.497,-2.497,-2.497,9.715,-2.497,-2.497,-2.497,11.3,9.715,-2.497,-2.497,-2.497,11.59,11.59,9.715,-2.497,-2.497,12.378,-2.497,-2.497,14.73,11.3,11.831,-2.497,-2.497,12.774,-2.497,-2.497,-2.497,-2.497,-2.497,10.452,-2.497,-2.497,10.452,-2.497,3.969,-1.963,1.799,-6.665,-6.665,0.477,-2.963,4.823,2.463,-4.771,-2.07,-6.665,3.547,2.399,0.799,0.112,3.106,-2.601,1.866,5.178,-2.311,-3.449,4.231,-2.601,3.737,2.037,-3.449,-0.817,-0.247,-1.247,-0.216,-2.771,3.63,-3.449,-6.665,4.065,4.28,1.68,-6.665,-6.665,-6.665,-6.665,-2.311,0.533,-6.665,0.737,0.737,5.154,3.34,4.993,5.149,7.936,1.195,2.358,3.201,5.731,-4.186,-3.771,-1.683,5.09,-6.665,-6.665,1.458,-0.913,-1.771,-2.07,3.933,-2.186,6.041,4.179,0.705,0.705,-3.771,-2.771,-0.485,5.336,1.729,-3.449,6.163,-3.186,0.621,-3.449,3.319,1.24,0.399,0.458,-3.771,-3.771,4.745,-0.311,-0.311,4.513,-3.449,5.452,3.533,3.533,3.533,3.533,3.533,0.477,3.201,2.94
"SEQC_NB003_BD03U8ACXX_L7_ACAGTG",2.123,-6.665,-3.648,4.826,-1.648,-0.926,-0.926,-0.926,-0.926,-6.665,6.311,-2.269,5.994,-6.665,0.785,-0.215,-2.063,-6.665,2.897,-3.648,-3.385,5.658,-1.326,0.334,-4.385,-3.163,2.069,-6.665,-4.385,-3.648,-3.648,-6.665,-6.665,-6.665,-6.665,-2.51,-6.665,-3.648,-3.648,1.569,4.384,-6.665,-2.497,-2.497,9.836,9.614,10.936,-2.497,-2.497,9.351,10.199,-2.497,-2.497,-2.497,-2.497,9.836,-2.497,-2.497,-2.497,11.277,10.488,-2.497,-2.497,-2.497,10.836,9.351,10.488,8.614,-2.497,11.887,8.614,9.836,14.413,10.729,12.199,8.614,10.199,13.258,-2.497,8.614,-2.497,-2.497,-2.497,8.614,9.029,8.614,8.614,-2.497,-2.648,1.139,-6.665,2.577,-6.665,-4.385,0.24,-4.385,3.492,-6.665,-2.97,0.949,1.876,-3.385,-6.665,-0.578,-1.8,-3.97,0.297,-3.648,-0.137,-0.269,3.257,-6.665,0.876,-4.385,-1.51,2.688,-2.8,-2.97,-2.8,-3.385,2.123,-4.385,-6.665,-6.665,-4.385,-6.665,-4.385,-3.97,-4.385,-2.8,-3.648,-6.665,-2.51,-6.665,-6.665,-6.665,-4.385,1.439,-2.8,7.722,-6.665,-3.385,1.561,-4.385,-6.665,-0.415,0.18,-0.76,-2.8,-1.722,-4.97,6.548,-3.163,-0.926,-4.385,-3.163,8.586,-0.137,-6.665,-6.665,-4.385,-1.163,-3.163,-4.97,-3.648,-6.665,6.751,1.2,3.792,2.091,3.401,1.498,-6.665,10.165,-6.665,-2.97,-6.665,-6.665,-6.665,-6.665,-4.385,-4.385,-3.648,-3.648,-3.648,-3.648,-3.648,10.243,-3.97,-3.97
"SEQC_NB004_BD03U8ACXX_L7_GCCAAT",5.258,-6.665,-0.862,-3.991,-1.991,-1.743,-1.743,-1.743,-1.743,-4.406,5.824,-6.665,4.99,-0.037,-4.406,0.594,-3.406,-3.184,0.75,1.939,3.575,5.887,-3.669,2.053,-3.669,-2.532,1.064,0.179,-6.665,-6.665,-6.665,-4.406,-6.665,-6.665,-6.665,0.578,-3.406,3.982,3.982,5.079,1.903,-6.665,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,13.317,-2.497,-2.497,-2.497,-2.497,13.317,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,13.317,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,13.317,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,4.459,1.945,-3.991,-3.184,-6.665,-0.862,-6.665,-1.037,3.711,1.939,3.083,-4.991,4.656,-0.821,-2.184,5.166,4.915,-3.406,-4.406,-3.669,1.468,1.053,-0.991,-6.665,-2.821,-3.184,-6.665,-6.665,-4.991,3.083,-0.599,-4.406,-2.821,-0.084,-6.665,-6.665,-3.184,-6.665,-3.669,-2.532,-2.669,-2.532,-4.406,-6.665,-3.991,-4.406,-4.406,-3.184,-2.084,-3.669,-1.599,6.776,-6.665,-0.634,-1.991,-6.665,-0.669,0.829,0.563,-4.406,0.764,-3.669,-1.904,6.199,-3.991,-3.669,-6.665,-6.665,-0.037,0.179,-6.665,-6.665,0.652,0.578,-6.665,-4.406,0.516,-6.665,5.903,6.123,3.926,3.319,0.275,2.112,-6.665,9.75,-6.665,-2.184,-6.665,-6.665,-6.665,-6.665,0.179,-3.406,-4.991,-4.991,-4.991,-4.991,-4.991,9.805,-4.991,-4.991
"SEQC_NB005_BD03U8ACXX_L7_CAGATC",6.125,-4.246,0.645,-2.831,-4.246,-3.023,-3.023,-3.023,-3.023,-6.665,6.552,-4.246,5.309,2.002,-2.661,-0.405,-2.371,-6.665,-0.049,-0.621,3.135,4.748,0.257,2.046,-3.023,-6.665,1.977,-6.665,-6.665,-6.665,-6.665,-4.246,-6.665,-6.665,-6.665,0.509,-3.831,-6.665,-6.665,6.253,2.349,-4.831,-2.497,-2.497,-2.497,12.047,12.047,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,12.047,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,12.047,12.047,-2.497,-2.497,-2.497,-2.497,-2.497,12.047,12.047,-2.497,12.047,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,12.047,-2.497,-2.497,-2.497,-2.497,2.299,2.118,-6.665,0.299,-4.246,-4.246,-4.246,-1.307,-6.665,-3.509,-2.13,2.677,-1.307,-6.665,-4.246,4.402,4.158,-4.246,-4.246,-4.246,1.996,-6.665,3.926,-3.509,2.002,-2.509,-6.665,1.791,-6.665,-2.023,-2.371,-1.023,3.849,-1.924,-6.665,-6.665,-3.023,-6.665,-6.665,-4.246,-6.665,-4.246,-6.665,-6.665,-6.665,-2.13,-2.13,-3.509,-0.924,0.436,-1.924,7.606,-6.665,-4.246,4.408,-1.13,-2.831,-1.924,-1.583,-2.246,3.235,-3.509,-3.831,6.39,-2.831,-1.743,-6.665,-0.831,3.216,-0.743,-6.665,-6.665,1.661,1.299,-0.831,-3.831,-6.665,-4.831,6.091,-6.665,2.924,-1.246,3.371,-0.049,-6.665,10.025,-6.665,-4.246,-4.831,-6.665,-6.665,-6.665,-6.665,-4.246,-4.831,-4.831,-4.831,-4.831,-4.831,10.098,-6.665,-6.665
"SEQC_NB006_BD03U8ACXX_L7_CTTGTA",7.037,-3.818,-6.665,-1.911,-1.174,-0.57,-0.57,-0.57,-0.57,-3.496,3.746,3.662,5.107,-6.665,2.022,4.815,-4.233,2.865,-3.818,3.028,1.848,6.132,-6.665,-6.665,-4.818,-0.773,-4.233,0.91,-2.496,-1.818,-1.818,-6.665,-6.665,-6.665,-6.665,-6.665,6.159,-4.233,-4.233,7.312,-3.496,3.821,-2.497,-2.497,-2.497,12.357,-2.497,-2.497,-2.497,-2.497,12.357,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,12.357,-2.497,-2.497,-2.497,-2.497,-2.497,12.357,-2.497,-2.497,-2.497,-2.497,12.357,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,3.337,-4.233,0.812,-3.496,-6.665,-6.665,-6.665,4.576,3.235,-1.57,0.113,3.314,2.549,3.912,-3.496,-3.818,-0.036,-3.818,-0.326,5.769,-6.665,-6.665,-3.818,-4.818,-6.665,3.676,-6.665,-3.01,-2.648,0.113,-2.648,-3.496,-6.665,-2.496,-6.665,-2.117,-1.425,-6.665,-4.233,-4.818,-4.818,-6.665,-6.665,-6.665,-6.665,-4.818,-4.818,-6.665,-6.665,-2.117,-1.425,-0.96,2.401,-3.01,-6.665,-3.01,-6.665,-3.496,-1.818,-6.665,-4.233,-6.665,3.177,5.565,-4.233,6.256,-0.46,2.071,7.913,4.918,-0.57,-0.57,-4.233,-6.665,-6.665,6.31,-0.174,-6.665,-2.01,-3.818,-4.233,2.352,-4.233,-0.174,0.575,-0.57,-4.233,-0.263,5.545,-1.911,-1.911,4.829,0.352,5.987,-6.665,-6.665,-6.665,-6.665,-6.665,-0.326,4.214,3.994
"SEQC_NB007_BD03U8ACXX_L8_CGATGT",4.636,-4.387,0.403,-1.448,-1.65,-1.328,-1.328,-1.328,-1.328,1.084,5.743,2.121,3.54,-2.512,0.861,-0.762,-2.065,-6.665,0.911,6.414,6.357,-1.164,-4.387,4.306,0.77,2.062,0.836,1.137,-2.65,-3.972,-3.972,-6.665,-6.665,-6.665,-6.665,1.583,4.752,-4.972,-4.972,1.829,-3.164,1.917,-2.497,-2.497,9.807,11.923,9.807,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,9.807,11.923,11.392,-2.497,-2.497,-2.497,11.03,10.544,-2.497,9.807,-2.497,12.31,-2.497,-2.497,14.267,9.807,12.615,-2.497,9.807,12.866,-2.497,-2.497,-2.497,-2.497,-2.497,9.807,9.807,-2.497,-2.497,-2.497,-4.387,2.073,2.512,2.628,-6.665,1.694,-0.065,0.137,3.453,-4.387,-4.387,5.582,3.619,4.02,-0.802,-3.972,-4.972,-1.884,1.65,4.98,0.935,-6.665,3.866,-6.665,2.094,-2.802,-6.665,-4.972,-1.387,-4.387,-1.387,-3.164,-6.665,-4.387,-6.665,-6.665,-6.665,-3.65,-6.665,-3.972,-6.665,-3.65,-4.387,-6.665,-6.665,-0.271,-0.271,-1.217,-2.271,-2.271,-2.512,7.142,-0.217,0.073,0.911,3.321,-6.665,-6.665,-3.65,-4.387,-4.387,-6.665,4.193,4.596,-0.927,4.802,0.81,3.842,8.191,4.428,-6.665,-6.665,2.011,-6.665,2.647,5.438,1.248,-6.665,0.672,-3.164,1.341,2.985,-1.579,-6.665,-2.65,-1.217,-6.665,-0.065,1.341,-6.665,-6.665,4.196,-1.164,3.959,-4.972,-4.972,-4.972,-4.972,-4.972,-1.017,2.849,2.632
"SEQC_NB008_BD03U8ACXX_L8_TGACCA",1.452,-6.665,3.037,2.763,-0.96,-0.621,-0.621,-0.621,-0.621,-2.878,3.78,-0.141,5.116,-4.463,0.2,-4.463,-5.048,0.04,-2.347,-3.726,-5.048,5.052,-6.665,1.436,-6.665,-3.463,2.646,-4.463,-4.463,-6.665,-6.665,-6.665,-6.665,-6.665,-6.665,-4.463,6.035,-2.588,-2.588,5.444,5.625,3.634,-2.497,-2.497,-2.497,11.537,10.158,-2.497,-2.497,9.421,-2.497,-2.497,-2.497,10.158,-2.497,-2.497,-2.497,-2.497,-2.497,11.743,11.006,-2.497,-2.497,-2.497,9.837,9.421,9.421,-2.497,-2.497,12.48,-2.497,-2.497,14.36,11.006,12.694,-2.497,9.421,12.881,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,9.421,9.421,-1.524,4.744,-6.665,1.859,-1.463,-2.588,2.024,-0.24,3.612,-6.665,-6.665,-3.048,1.871,-6.665,-2.24,4.667,3.977,-6.665,-3.726,5.24,3.516,-2.588,4.089,-6.665,2.195,-4.463,3.452,2.975,-6.665,-6.665,1.436,-3.726,-4.463,-3.24,-6.665,-1.003,-0.918,-3.463,-6.665,-6.665,-6.665,-6.665,5.576,-4.463,-6.665,-2.347,-2.347,-6.665,-6.665,5.93,-1.094,8.459,3.364,-2.141,4.906,3.258,-3.24,0.061,-1.19,-5.048,-4.463,-6.665,-4.463,5.123,-6.665,0.327,-0.556,-5.048,8.639,6.788,-2.463,-2.463,-6.665,0.395,-4.048,7.808,-6.665,-6.665,7.027,-2.588,4.5,-2.878,3.824,1.152,1.395,0.395,-4.048,-3.726,5.026,-6.665,-6.665,6.267,-6.665,5.784,-0.493,-0.493,-0.493,-0.493,-0.493,0.428,3.702,3.374
"SEQC_NB009_BD03U8ACXX_L8_ACAGTG",4.645,-3.87,0.788,0.061,-1.285,-0.585,-0.585,-0.585,-0.585,-6.665,5.116,-3.063,4.22,0.844,-0.585,1.737,1.107,-0.783,1.606,1.269,2.055,5.032,-2.285,1.32,-4.285,-2.411,3.936,-1.963,-2.87,-3.87,-3.87,-4.285,-6.665,-6.665,-6.665,-1.012,-4.87,-2.548,-2.548,6.135,2.28,-6.665,5.897,3.089,8.177,10.838,9.714,5.592,5.411,8.134,10.286,5.592,4.312,8.724,5.411,8.459,5.752,4.312,6.79,11.638,9.844,4.964,3.089,8.623,11.087,8.714,9.926,8.447,6.549,11.923,8.163,8.644,14.313,9.232,11.182,4.674,10.289,12.918,6.259,7.931,7.232,4.964,6.862,7.947,9.177,7.362,9.459,7.119,-4.285,4.656,-6.665,1.837,-2.87,-6.665,-0.478,0.013,3.87,2.556,3.655,2.364,-3.285,1.606,0.174,1.924,-1.622,-3.548,1.13,-6.665,4.173,-2.548,-6.665,-6.665,-6.665,-1.347,-6.665,2.264,-1.347,3.663,-2.7,2.597,-4.285,-1.963,-6.665,-4.87,-2.17,-2.411,-1.063,-2.285,-2.285,-2.17,-6.665,-6.665,-3.548,-4.285,-4.285,-1.115,-4.285,3.055,-1.622,7.291,-6.665,-3.285,5.141,2.688,-0.783,-0.226,0.013,-4.285,2.56,-2.411,-0.661,3.368,-6.665,1.669,-2.17,0.452,7.862,-0.378,-6.665,-6.665,2.096,-0.661,-1.063,-2.87,-6.665,-6.665,5.525,3.09,1.715,7.122,2.505,1.3,-6.665,10.876,-6.665,-1.478,-6.665,-6.665,-6.665,-3.548,-4.87,-3.87,-6.665,-6.665,-6.665,-6.665,-6.665,10.924,-3.548,-3.548
"SEQC_NB010_BD03U8ACXX_L8_GCCAAT",2.315,-5.012,-6.665,-5.012,-1.257,-0.129,-0.129,-0.129,-0.129,-1.69,6.368,-4.427,5.596,-6.665,0.859,-5.012,-3.69,-2.204,0.809,-2.69,-2.105,5.863,0.834,0.954,-6.665,-6.665,4.841,-6.665,1.757,3.82,3.82,-6.665,-6.665,-6.665,-6.665,-2.012,6.184,-2.842,-2.842,5.507,3.737,3.564,-2.497,-2.497,-2.497,13.001,13.001,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,13.001,-2.497,-2.497,-2.497,-2.497,-2.497,13.001,13.001,-2.497,-2.497,13.001,-2.497,-2.497,13.738,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.69,2.901,-6.665,2.278,-6.665,-4.427,2.027,-1.105,-6.665,-0.764,0.573,1.011,1.138,-1.368,-2.311,0.48,-1.842,-6.665,-1.257,5.112,1.654,-2.69,1.448,-4.427,-0.52,-3.427,-6.665,1.31,-2.69,0.573,-3.69,0.543,-6.665,-3.69,-6.665,-6.665,-6.665,-4.427,2.389,4.604,4.427,2.444,-6.665,-6.665,3.61,-6.665,-6.665,-4.427,-6.665,5.803,-2.552,8.331,3.821,-6.665,4.737,3.791,-3.69,0.328,0.895,1.573,-2.842,-3.69,-3.427,6.01,-6.665,0.198,-4.012,-4.427,4.011,5.887,-3.012,-3.012,-6.665,0.217,-6.665,7.294,-4.012,-6.665,6.592,-0.081,3.801,1.372,1.328,3.385,0.675,-0.057,-4.012,-6.665,4.712,-2.552,-2.552,6.082,-4.427,6.006,-1.368,-1.368,-1.368,-1.368,-1.368,-0.012,3.645,3.357
